Unnamed: 0,id,text,retweet_count,created_at,author,location,is_verified
0,1517289557741477890,bardzo ciekawa według miąć opracować ,0,2022-04-21 23:49:55+00:00,AntoniPiechocki,,False
1,1517284025928495104,jeden z powód dla który wysyłać tak duży pomoc wojskowy nowy minister obrona kraj ,18,2022-04-21 23:27:56+00:00,52_macius,Poznań Stare Miasto / EU ,False
2,1517281903241482241,przekazać jugosłowiański czołg bojowy ten wariant radziecki ,17,2022-04-21 23:19:30+00:00,KozlowskiMarek,Wrocław,False
3,1517280783345635329,clip ,0,2022-04-21 23:15:03+00:00,BastardHegels,,False
4,1517280086541717504,minuta w parlament europejski ,9,2022-04-21 23:12:16+00:00,karolk18,,False
5,1517279617647882241,zgodzić siebie na zakup ciężki bronić do bezpłatny transfer na przewodniczący rad europejski micha ,44,2022-04-21 23:10:25+00:00,djankowski10,,False
6,1517278760390832128,mol who s ,5,2022-04-21 23:07:00+00:00,SamHarp65562239,,False
7,1517275454880821249,przekazać jugosłowiański czołg bojowy ten wariant radziecki ,17,2022-04-21 22:53:52+00:00,propeertys,"Stamford, England",False
8,1517274921621196800,najsłabszy w historia całość ,35,2022-04-21 22:51:45+00:00,mthechristian,,False
9,1517273658212995074,jeden z powód dla który wysyłać tak duży pomoc wojskowy nowy minister obrona kraj od lata otwarcie krytykować i zawsze powtarzać że musieć stawić czoło ten państwo który próbować zastraszać inna ,18,2022-04-21 22:46:44+00:00,propeertys,"Stamford, England",False
